REGION,GENDER,AGE_GROUP,ANNEE,NB_ETUDIANTS,POPULATION
Pays de la Loire,M,45-49 ans,2023,3,122950
Pays de la Loire,M,50-54 ans,2023,2,127720
Pays de la Loire,M,55-59 ans,2023,1,120949
Provence-Alpes-Côte d'Azur,F,25-29 ans,2023,2,133398
Provence-Alpes-Côte d'Azur,F,30-34 ans,2023,4,153822
Provence-Alpes-Côte d'Azur,F,35-39 ans,2023,1,161413
Provence-Alpes-Côte d'Azur,F,40-44 ans,2023,2,166780
Provence-Alpes-Côte d'Azur,F,50-54 ans,2023,1,178024
Provence-Alpes-Côte d'Azur,M,20-24 ans,2023,2,140210
Provence-Alpes-Côte d'Azur,M,25-29 ans,2023,7,131426
Provence-Alpes-Côte d'Azur,M,30-34 ans,2023,12,144587
Provence-Alpes-Côte d'Azur,M,35-39 ans,2023,5,149118
Provence-Alpes-Côte d'Azur,M,40-44 ans,2023,2,156764
Provence-Alpes-Côte d'Azur,M,45-49 ans,2023,2,153540
Provence-Alpes-Côte d'Azur,M,50-54 ans,2023,1,168712
Provence-Alpes-Côte d'Azur,M,55-59 ans,2023,1,168791
Provence-Alpes-Côte d'Azur,M,60 ans ou plus,2023,1,696838
Île-de-France,F,20-24 ans,2023,2,427737
Île-de-France,F,25-29 ans,2023,25,437192
Île-de-France,F,30-34 ans,2023,52,464314
Île-de-France,F,35-39 ans,2023,30,451905
Île-de-France,F,40-44 ans,2023,20,437677
Île-de-France,F,45-49 ans,2023,13,409558
Île-de-France,F,50-54 ans,2023,4,407088
Île-de-France,F,55-59 ans,2023,2,390975
Île-de-France,M,20-24 ans,2023,5,416143
Île-de-France,M,25-29 ans,2023,60,417066
Île-de-France,M,30-34 ans,2023,66,438217
Île-de-France,M,35-39 ans,2023,46,419535
Île-de-France,M,40-44 ans,2023,35,414697
Île-de-France,M,45-49 ans,2023,20,404740
Île-de-France,M,50-54 ans,2023,14,395238
Île-de-France,M,55-59 ans,2023,9,369436
Île-de-France,M,60 ans ou plus,2023,8,1159282
Auvergne-Rhône-Alpes,F,25-29 ans,2022,4,227869
Auvergne-Rhône-Alpes,F,30-34 ans,2022,9,252973
Auvergne-Rhône-Alpes,F,35-39 ans,2022,6,265304
Auvergne-Rhône-Alpes,F,40-44 ans,2022,5,263561
Auvergne-Rhône-Alpes,F,45-49 ans,2022,3,261130
Auvergne-Rhône-Alpes,F,50-54 ans,2022,2,271085
Auvergne-Rhône-Alpes,F,55-59 ans,2022,1,266994
Auvergne-Rhône-Alpes,F,60 ans ou plus,2022,1,1201312
Auvergne-Rhône-Alpes,M,20-24 ans,2022,1,239255
Auvergne-Rhône-Alpes,M,25-29 ans,2022,8,229782
Auvergne-Rhône-Alpes,M,30-34 ans,2022,15,247295
Auvergne-Rhône-Alpes,M,35-39 ans,2022,16,254980
Auvergne-Rhône-Alpes,M,40-44 ans,2022,7,255076
Auvergne-Rhône-Alpes,M,45-49 ans,2022,10,261532
Auvergne-Rhône-Alpes,M,50-54 ans,2022,3,267934
Auvergne-Rhône-Alpes,M,55-59 ans,2022,4,260661
Auvergne-Rhône-Alpes,M,60 ans ou plus,2022,2,963910
Bourgogne-Franche-Comté,F,25-29 ans,2022,2,68487
Bourgogne-Franche-Comté,F,30-34 ans,2022,1,76666
Bourgogne-Franche-Comté,F,35-39 ans,2022,1,81864
Bourgogne-Franche-Comté,F,40-44 ans,2022,1,83548
Bourgogne-Franche-Comté,M,25-29 ans,2022,4,71275
Bourgogne-Franche-Comté,M,30-34 ans,2022,6,76158
Bourgogne-Franche-Comté,M,45-49 ans,2022,2,86369
Bourgogne-Franche-Comté,M,50-54 ans,2022,3,93561
Bretagne,F,25-29 ans,2022,1,83474
Bretagne,F,30-34 ans,2022,4,92960
Bretagne,F,35-39 ans,2022,1,100341
Bretagne,F,45-49 ans,2022,1,108917
Bretagne,M,20-24 ans,2022,1,97043
Bretagne,M,25-29 ans,2022,2,86968
Bretagne,M,30-34 ans,2022,5,93119
Bretagne,M,35-39 ans,2022,3,98865
Bretagne,M,40-44 ans,2022,4,103643
Bretagne,M,45-49 ans,2022,4,110035
Bretagne,M,60 ans ou plus,2022,1,453105
Centre-Val-de-Loire,F,30-34 ans,2022,4,72900
Centre-Val-de-Loire,M,20-24 ans,2022,2,68680
Centre-Val-de-Loire,M,25-29 ans,2022,1,63579
Centre-Val-de-Loire,M,30-34 ans,2022,3,70117
Centre-Val-de-Loire,M,35-39 ans,2022,7,73397
Centre-Val-de-Loire,M,40-44 ans,2022,5,75290
Centre-Val-de-Loire,M,45-49 ans,2022,1,80214
DROM,F,40-44 ans,2022,2,145316
DROM,F,45-49 ans,2022,1,147642
DROM,M,30-34 ans,2022,3,113618
DROM,M,35-39 ans,2022,1,116172
DROM,M,40-44 ans,2022,1,116614
DROM,M,45-49 ans,2022,2,126034
DROM,M,50-54 ans,2022,2,136560
Grand Est,F,25-29 ans,2022,2,151462
Grand Est,F,30-34 ans,2022,4,168006
Grand Est,F,35-39 ans,2022,3,175546
Grand Est,F,40-44 ans,2022,2,173190
Grand Est,F,45-49 ans,2022,1,175778
Grand Est,F,55-59 ans,2022,1,193756
Grand Est,M,20-24 ans,2022,2,165884
Grand Est,M,25-29 ans,2022,6,156316
Grand Est,M,30-34 ans,2022,10,166340
Grand Est,M,35-39 ans,2022,10,170597
Grand Est,M,40-44 ans,2022,8,170271
Grand Est,M,45-49 ans,2022,2,174486
Grand Est,M,50-54 ans,2022,1,185608
Grand Est,M,55-59 ans,2022,3,187667
Grand Est,M,60 ans ou plus,2022,1,691444
Hauts-de-France,F,25-29 ans,2022,1,167340
Hauts-de-France,F,30-34 ans,2022,7,184679
Hauts-de-France,F,35-39 ans,2022,12,194611
Hauts-de-France,F,40-44 ans,2022,4,190967
Hauts-de-France,F,50-54 ans,2022,2,194384
Hauts-de-France,M,20-24 ans,2022,1,186248
Hauts-de-France,M,25-29 ans,2022,2,167168
Hauts-de-France,M,30-34 ans,2022,17,179837
Hauts-de-France,M,35-39 ans,2022,5,188234
Hauts-de-France,M,40-44 ans,2022,7,186844
Hauts-de-France,M,45-49 ans,2022,4,190618
Hauts-de-France,M,50-54 ans,2022,6,191932
Hauts-de-France,M,55-59 ans,2022,1,186952
Hauts-de-France,M,60 ans ou plus,2022,2,658155
Normandie,F,35-39 ans,2022,1,101931
Normandie,F,45-49 ans,2022,1,104152
Normandie,F,50-54 ans,2022,1,110009
Normandie,F,55-59 ans,2022,1,112927
Normandie,M,25-29 ans,2022,5,86310
Normandie,M,30-34 ans,2022,6,93536
Normandie,M,35-39 ans,2022,3,98057
Normandie,M,40-44 ans,2022,3,98210
Normandie,M,45-49 ans,2022,1,101654
Nouvelle-Aquitaine,F,25-29 ans,2022,1,150191
Nouvelle-Aquitaine,F,30-34 ans,2022,1,169765
Nouvelle-Aquitaine,F,35-39 ans,2022,3,180859
Nouvelle-Aquitaine,F,40-44 ans,2022,7,189218
Nouvelle-Aquitaine,F,45-49 ans,2022,4,198248
Nouvelle-Aquitaine,F,50-54 ans,2022,2,209507
Nouvelle-Aquitaine,F,55-59 ans,2022,1,213254
Nouvelle-Aquitaine,M,25-29 ans,2022,9,150388
Nouvelle-Aquitaine,M,30-34 ans,2022,16,164607
Nouvelle-Aquitaine,M,35-39 ans,2022,11,173221
Nouvelle-Aquitaine,M,40-44 ans,2022,7,182141
Nouvelle-Aquitaine,M,45-49 ans,2022,5,192658
Nouvelle-Aquitaine,M,50-54 ans,2022,3,201275
Nouvelle-Aquitaine,M,55-59 ans,2022,1,201205
Nouvelle-Aquitaine,M,60 ans ou plus,2022,1,855814
Occitanie,F,25-29 ans,2022,1,159618
Occitanie,F,30-34 ans,2022,5,176199
Occitanie,F,35-39 ans,2022,3,184360
Occitanie,F,40-44 ans,2022,5,190696
Occitanie,F,45-49 ans,2022,1,192843
Occitanie,F,50-54 ans,2022,1,205697
Occitanie,F,55-59 ans,2022,2,208809
Occitanie,M,20-24 ans,2022,2,173775
Occitanie,M,25-29 ans,2022,10,161274
Occitanie,M,30-34 ans,2022,14,169648
Occitanie,M,35-39 ans,2022,12,175287
Occitanie,M,40-44 ans,2022,6,182583
Occitanie,M,45-49 ans,2022,3,185979
Occitanie,M,55-59 ans,2022,2,196716
Occitanie,M,60 ans ou plus,2022,1,812218
Pays de la Loire,F,25-29 ans,2022,2,100624
Pays de la Loire,F,30-34 ans,2022,1,111621
Pays de la Loire,F,35-39 ans,2022,1,119787
Pays de la Loire,F,40-44 ans,2022,3,122673
Pays de la Loire,F,45-49 ans,2022,2,124709
Pays de la Loire,F,50-54 ans,2022,1,125881
Pays de la Loire,F,55-59 ans,2022,2,123747
Pays de la Loire,M,25-29 ans,2022,4,102069
Pays de la Loire,M,30-34 ans,2022,7,111092
Pays de la Loire,M,35-39 ans,2022,7,116874
Pays de la Loire,M,45-49 ans,2022,3,125732
Pays de la Loire,M,50-54 ans,2022,2,125268
Pays de la Loire,M,55-59 ans,2022,1,120546
Provence-Alpes-Côte d'Azur,F,25-29 ans,2022,4,133189
Provence-Alpes-Côte d'Azur,F,30-34 ans,2022,2,153231
Provence-Alpes-Côte d'Azur,F,35-39 ans,2022,1,161490
Provence-Alpes-Côte d'Azur,F,40-44 ans,2022,4,163862
Provence-Alpes-Côte d'Azur,F,45-49 ans,2022,1,165283
Provence-Alpes-Côte d'Azur,F,50-54 ans,2022,1,177411
Provence-Alpes-Côte d'Azur,F,55-59 ans,2022,1,183572
Provence-Alpes-Côte d'Azur,M,25-29 ans,2022,4,130652
Provence-Alpes-Côte d'Azur,M,30-34 ans,2022,17,144254
Provence-Alpes-Côte d'Azur,M,35-39 ans,2022,8,149106
Provence-Alpes-Côte d'Azur,M,40-44 ans,2022,6,154003
Provence-Alpes-Côte d'Azur,M,45-49 ans,2022,4,157331
Provence-Alpes-Côte d'Azur,M,50-54 ans,2022,2,166314
Provence-Alpes-Côte d'Azur,M,55-59 ans,2022,2,168350
Provence-Alpes-Côte d'Azur,M,60 ans ou plus,2022,2,686518
Île-de-France,F,20-24 ans,2022,5,422554
Île-de-France,F,25-29 ans,2022,12,438011
Île-de-France,F,30-34 ans,2022,37,465599
Île-de-France,F,35-39 ans,2022,31,450961
Île-de-France,F,40-44 ans,2022,34,434771
Île-de-France,F,45-49 ans,2022,16,414197
Île-de-France,F,50-54 ans,2022,4,403221
Île-de-France,F,55-59 ans,2022,6,393487
Île-de-France,F,60 ans ou plus,2022,1,1452302
Île-de-France,M,20-24 ans,2022,1,410020
Île-de-France,M,25-29 ans,2022,41,415647
Île-de-France,M,30-34 ans,2022,69,436749
Île-de-France,M,35-39 ans,2022,55,418794
Île-de-France,M,40-44 ans,2022,47,413734
Île-de-France,M,45-49 ans,2022,22,411669
Île-de-France,M,50-54 ans,2022,21,387897
Île-de-France,M,55-59 ans,2022,15,369531
Île-de-France,M,60 ans ou plus,2022,10,1142183
